HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4103.20.20.00","3","Vegetable pretanned","[""pcs""]","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4103.20.30.00","3","Other","[""pcs""]","Free","","25%","",""
"4103.30","1","Of swine:","","","","","",""
"4103.30.10.00","2","Not pretanned","[""pcs"",""kg""]","Free","","Free","",""
"4103.30.20.00","2","Other","[""pcs""]","4.2%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4103.90","1","Other:","","","","","",""
"4103.90.11","2","Not pretanned","","Free","","Free","",""
"4103.90.11.30","3","Deer","[""pcs"",""kg""]","","","","",""
"4103.90.11.40","3","Of goats or kids","[""pcs"",""kg""]","","","","",""
"4103.90.11.90","3","Other","[""kg""]","","","","",""
"","2","Other:","","","","","",""
"","3","Of goats or kids:","","","","","",""
"4103.90.12.00","4","Vegetable pretanned","[""pcs"",""kg""]","Free","","10%","",""
"4103.90.13.00","4","Other","[""pcs"",""kg""]","3.7%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4103.90.20.00","3","Other","[""kg""]","3.3%","Free (A+,AU,BH,CL,CO,D,E,IL, JO,KR,MA, OM,P,PA,PE,S,SG)","25%","",""
"4104","0","Tanned or crust hides and skins of bovine (including buffalo) or equine animals, without hair on, whether or not split, but not further prepared:","","","","","",""
"","1","In the wet state (including wet-blue):","","","","","",""
"4104.11","2","Full grains, unsplit; grain splits:","","","","","",""
"","3","Whole bovine leather, of a unit surface area not exceeding 28 square feet (2.6 m<sup>2</sup>):","","","","","",""
"4104.11.10","4","Upper leather; lining leather","","Free","","15%","",""
"4104.11.10.20","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4104.11.10.40","5","Lining leather","[""m<sup>2<\/sup>""]","","","","",""
