HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4401.39.20.00","3","Artificial fire logs composed of wax and sawdust, with or without added materials","[""kg""]","Free","","20%","",""
"4401.39.42","3","Other","","Free","","Free","",""
"4401.39.42.10","4","Sawdust","[""kg""]","","","","",""
"4401.39.42.20","4","Shavings","[""kg""]","","","","",""
"4401.39.42.90","4","Other","[""kg""]","","","","",""
"","1","Sawdust and wood waste and scrap, not agglomerated:","","","","","",""
"4401.41.00.00","2","Sawdust","[""kg""]","Free","","Free","",""
"4401.49.00","2","Other","","Free","","Free","",""
"4401.49.00.20","3","Shavings","[""kg""]","","","","",""
"4401.49.00.90","3","Other","[""kg""]","","","","",""
"4402","0","Wood charcoal (including shell or nut charcoal), whether or not agglomerated:","","","","","",""
"4402.10.00.00","1","Of bamboo","[""t""]","Free","","Free","",""
"4402.20.00.00","1","Of shell or nut","[""t""]","Free","","Free","",""
"4402.90.01.00","1","Other","[""t""]","Free","","Free","",""
"4403","0","Wood in the rough, whether or not stripped of bark or sap- wood, or roughly squared:","","","","","",""
"","1","Treated with paint, stain, creosote or other preservatives:","","","","","",""
"4403.11.00","2","Coniferous","","Free","","Free","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.11.00.20","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.11.00.40","4","Fence posts","[""m""]","","","","",""
"4403.11.00.50","4","Other","[""m""]","","","","",""
"4403.11.00.60","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.12.00","2","Nonconiferous","","Free","","Free","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.12.00.20","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.12.00.40","4","Fence posts","[""m""]","","","","",""
"4403.12.00.50","4","Other","[""m""]","","","","",""
"4403.12.00.60","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"","1","Other, coniferous:","","","","","",""
"4403.21.01","2","Of pine <u>(Pinus</u> spp.), of which the smallest cross-sectional dimension is 15 cm or more","","Free","","Free","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.21.01.12","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.21.01.15","4","Fence posts","[""m""]","","","","",""
"4403.21.01.16","4","Other","[""m""]","","","","",""
"","3","Logs and timber:","","","","","",""
"4403.21.01.20","4","Southern yellow pine (Loblolly pine (<u>Pinus</u> <u>taeda</u>)), long leaf pine (<u>Pinus</u> <u>palustris</u>), pitch pine (<u>Pinus</u> <u>rigida</u>), short leaf pine (<u>Pinus</u> <u>echinata</u>), slash pine (<u>Pinus</u> <u>elliottii</u>) and Virginia pine (<u>Pinus</u> <u>virginiana</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.21.01.25","4","Ponderosa pine (<u>Pinus</u> <u>ponderosa</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.21.01.30","4","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.21.01.65","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.22.01","2","Of pine <u>(Pinus</u> spp.), other","","Free","","Free","",""
"4403.22.01.08","3","Pulpwood","[""m<sup>3<\/sup>""]","","","","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.22.01.12","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.22.01.15","4","Fence posts","[""m""]","","","","",""
"4403.22.01.16","4","Other","[""m""]","","","","",""
"","3","Logs and timber:","","","","","",""
"4403.22.01.20","4","Southern yellow pine (Loblolly pine (<u>Pinus</u> <u>taeda</u>)), long leaf pine (<u>Pinus</u> <u>palustris</u>), pitch pine (<u>Pinus</u> <u>rigida</u>), short leaf pine (<u>Pinus</u> <u>echinata</u>), slash pine (<u>Pinus</u> <u>elliottii</u>) and Virginia pine (<u>Pinus</u> <u>virginiana</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.22.01.25","4","Ponderosa pine (<u>Pinus</u> <u>ponderosa</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.22.01.30","4","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.22.01.65","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.23.01","2","Of fir (<u>Abies</u> spp.) and spruce (<u>Picea</u> spp.), of which the smallest cross-sectional dimension is 15 cm or more","","Free","","Free","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.23.01.12","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.23.01.15","4","Fence posts","[""m""]","","","","",""
"4403.23.01.16","4","Other","[""m""]","","","","",""
"","3","Logs and timber:","","","","","",""
"4403.23.01.35","4","Spruce (<u>Picea</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4403.23.01.42","4","Other fir; balsam","[""m<sup>3<\/sup>""]","","","","",""
"4403.23.01.65","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.24.01","2","Of fir (<u>Abies</u> spp.) and spruce (<u>Picea</u> spp.), other","","Free","","Free","",""
"4403.24.01.04","3","Pulpwood","[""m<sup>3<\/sup>""]","","","","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.24.01.12","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.24.01.15","4","Fence posts","[""m""]","","","","",""
"4403.24.01.16","4","Other","[""m""]","","","","",""
"","3","Logs and timber:","","","","","",""
"4403.24.01.35","4","Spruce (<u>Picea</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4403.24.01.42","4","Other fir; balsam","[""m<sup>3<\/sup>""]","","","","",""
"4403.24.01.65","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.25.01","2","Other, of which the smallest cross-sectional dimension is 15 cm or more","","Free","","Free","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.25.01.12","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.25.01.15","4","Fence posts","[""m""]","","","","",""
"4403.25.01.16","4","Other","[""m""]","","","","",""
"","3","Logs and timber:","","","","","",""
"4403.25.01.40","4","Douglas-fir (<u>Pseudotsuga</u> <u>menziesii</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.25.01.50","4","Western hemlock (<u>Tsuga</u> <u>heterophylla</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.25.01.52","4","Other hemlock","[""m<sup>3<\/sup>""]","","","","",""
"4403.25.01.55","4","Western red cedar (<u>Thuja</u> <u>plicata</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.25.01.57","4","Other cedar","[""m<sup>3<\/sup>""]","","","","",""
"4403.25.01.64","4","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.25.01.65","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.26.01","2","Other","","Free","","Free","",""
"4403.26.01.08","3","Pulpwood","[""m<sup>3<\/sup>""]","","","","",""
"","3","Poles, piles and posts:","","","","","",""
"4403.26.01.12","4","Telephone, telegraph and electrical power poles","[""m""]","","","","",""
"4403.26.01.15","4","Fence posts","[""m""]","","","","",""
"4403.26.01.16","4","Other","[""m""]","","","","",""
"","3","Logs and timber:","","","","","",""
"4403.26.01.40","4","Douglas-fir (<u>Pseudotsuga</u> <u>menziesii</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.26.01.50","4","Western hemlock (<u>Tsuga</u> <u>heterophylla</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.26.01.52","4","Other hemlock","[""m<sup>3<\/sup>""]","","","","",""
"4403.26.01.55","4","Western red cedar (<u>Thuja</u> <u>plicata</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.26.01.57","4","Other cedar","[""m<sup>3<\/sup>""]","","","","",""
"4403.26.01.64","4","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.26.01.65","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"","1","Other, of tropical wood:","","","","","",""
"4403.41.00.00","2","Dark Red Meranti, Light Red Meranti and Meranti Bakau","[""m<sup>3<\/sup>""]","Free","","Free","",""
"4403.42.00.00","2","Teak","[""m<sup>3<\/sup>""]","Free","","Free","",""
"4403.49.02.00","2","Other","[""m<sup>3<\/sup>""]","Free","","Free","",""
"","1","Other:","","","","","",""
"4403.91.00","2","Of oak (<u>Quercus</u> spp.)","","Free","","Free","",""
"4403.91.00.20","3","Of red oak","[""m<sup>3<\/sup>""]","","","","",""
"4403.91.00.40","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.93.01.00","2","Of beech (<u>Fagus</u> spp.), of which the smallest cross-sectional dimension is 15 cm or more","[""m<sup>3<\/sup>""]","Free","","Free","",""
"4403.94.01.00","2","Of beech (<u>Fagus</u> spp.), other","[""m<sup>3<\/sup>""]","Free","","Free","",""
"4403.95.01","2","Of birch (<u>Betula</u> spp.), of which the smallest cross-sectional dimension is 15 cm or more","","Free","","Free","",""
"4403.95.01.27","3","Poles, piles and posts","[""m<sup>3<\/sup>""]","","","","",""
"4403.95.01.30","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.96.01","2","Of birch (<u>Betula</u> spp.), other","","Free","","Free","",""
"4403.96.01.23","3","Pulpwood","[""m<sup>3<\/sup>""]","","","","",""
"4403.96.01.27","3","Poles, piles and posts","[""m<sup>3<\/sup>""]","","","","",""
"4403.96.01.30","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.97.00","2","Of poplar and aspen (<u>Populus</u> spp.)","","Free","","Free","",""
"4403.97.00.22","3","Pulpwood","[""m<sup>3<\/sup>""]","","","","",""
"4403.97.00.26","3","Poles, piles and posts","[""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4403.97.00.65","4","Of yellow poplar (<u>Liriodendron</u> <u>tulipifera</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.97.00.67","4","Of other poplar; of aspen or cottonwood","[""m<sup>3<\/sup>""]","","","","",""
"4403.98.00","2","Of eucalyptus (<u>Eucalyptus</u> spp.)","","Free","","Free","",""
"4403.98.00.23","3","Pulpwood","[""m<sup>3<\/sup>""]","","","","",""
"4403.98.00.28","3","Poles, piles and posts","[""m<sup>3<\/sup>""]","","","","",""
"4403.98.00.95","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4403.99.01","2","Other","","Free","","Free","",""
"4403.99.01.23","3","Pulpwood","[""m<sup>3<\/sup>""]","","","","",""
"4403.99.01.28","3","Poles, piles and posts","[""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4403.99.01.40","4","Of ash (<u>Fraxinus</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4403.99.01.50","4","Of western red alder (<u>Alnus</u> <u>rubra</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4403.99.01.55","4","Of cherry (<u>Prunus</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4403.99.01.60","4","Of maple (<u>Acer</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4403.99.01.70","4","Of walnut (<u>Juglans</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4403.99.01.75","4","Of paulownia (<u>Paulownia</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4403.99.01.95","4","Other","[""m<sup>3<\/sup>""]","","","","",""
"4404","0","Hoopwood; split poles; piles, pickets and stakes of wood, pointed but not sawn lengthwise; wooden sticks, roughly trimmed but not turned, bent or otherwise worked, suitable for the manufacture of walking-sticks, umbrellas, tool handles or the like; chipwood and the like:","","","","","",""
"4404.10.00","1","Coniferous","","Free","","Free","",""
"4404.10.00.40","2","Fence pickets, palings and rails","[""kg""]","","","","",""
"4404.10.00.80","2","Poles, piles and posts","[""kg""]","","","","",""
"4404.10.00.90","2","Other","[""kg""]","","","","",""
"4404.20.00","1","Nonconiferous","","Free","","Free","",""
"4404.20.00.40","2","Fence pickets, palings and rails","[""kg""]","","","","",""
"4404.20.00.80","2","Poles, piles and posts","[""kg""]","","","","",""
"4404.20.00.90","2","Other","[""kg""]","","","","",""
"4405.00.00.00","0","Wood wool (excelsior); wood flour","[""kg""]","3.2%","Free (A+,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"4406","0","Railway or tramway sleepers (cross-ties) of wood:","","","","","",""
"","1","Not impregnated:","","","","","",""
"4406.11.00.00","2","Coniferous","[""m<sup>3<\/sup>"",""No.""]","Free","","Free","",""
"4406.12.00.00","2","Nonconiferous","[""m<sup>3<\/sup>"",""No.""]","Free","","Free","",""
"","1","Other:","","","","","",""
"4406.91.00.00","2","Coniferous","[""m<sup>3<\/sup>"",""No.""]","Free","","Free","",""
"4406.92.00.00","2","Nonconiferous","[""m<sup>3<\/sup>"",""No.""]","Free","","Free","",""
"4407","0","Wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded or end-jointed, of a thickness exceeding 6 mm:","","","","","",""
"","1","Coniferous:","","","","","",""
"4407.11.00","2","Of pine (<u>Pinus</u> spp.)","","Free","","$1.70/m<sup>3</sup>","",""
"4407.11.00.01","3","Finger-jointed","[""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4407.11.00.02","4","Treated with paint, stain, creosote or other preservative","[""m<sup>3<\/sup>""]","","","","",""
"","4","Not treated:","","","","","",""
"","5","Eastern white pine (<u>Pinus</u> <u>strobus</u>) and red pine (<u>Pinus</u> <u>resinosa</u>):","","","","","",""
"4407.11.00.42","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.11.00.43","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Lodgepole pine (<u>Pinus</u> <u>contorta</u>):","","","","","",""
"4407.11.00.44","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.11.00.45","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Southern yellow pine (Loblolly pine (<u>Pinus</u> <u>taeda</u>)), long leaf pine (<u>Pinus</u> <u>palustris</u>), pitch pine (<u>Pinus</u> <u>rigida</u>), short leaf pine (<u>Pinus</u> <u>echinata</u>), slash pine (<u>Pinus</u> <u>elliottii</u>) and Virginia pine (<u>Pinus</u> <u>virginiana</u>):","","","","","",""
"4407.11.00.46","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.11.00.47","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Ponderosa pine (<u>Pinus</u> <u>ponderosa</u>):","","","","","",""
"4407.11.00.48","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.11.00.49","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Other pine:","","","","","",""
"4407.11.00.52","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.11.00.53","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"4407.12.00","2","Of fir (<u>Abies</u> spp.) and spruce (<u>Picea</u> spp.)","","Free","","$1.70/m<sup>3</sup>","",""
"4407.12.00.01","3","Finger-jointed","[""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4407.12.00.02","4","Treated with paint, stain, creosote or other preservative","[""m<sup>3<\/sup>""]","","","","",""
"","4","Not treated:","","","","","",""
"","5","Sitka spruce (<u>Picea</u> <u>sitchensis</u>):","","","","","",""
"4407.12.00.17","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.12.00.18","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Other spruce:","","","","","",""
"4407.12.00.19","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.12.00.20","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Fir (<u>Abies</u> spp.):","","","","","",""
"4407.12.00.58","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.12.00.59","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"4407.13.00.00","2","Of S-P-F (spruce (<u>Picea</u> spp.), pine (<u>Pinus</u> spp.) and fir (<u>Abies</u> spp.))","[""m<sup>3<\/sup>""]","Free","","$1.70/m<sup>3</sup>","",""
"4407.14.00.00","2","Of Hem-fir (Western hemlock (<u>Tsuga</u> <u>heterophylla</u>) and fir (<u>Abies</u> spp.))","[""m<sup>3<\/sup>""]","Free","","$1.70/m<sup>3</sup>","",""
"4407.19.00","2","Other","","Free","","$1.70/m<sup>3</sup>","",""
"4407.19.00.01","3","Finger-jointed","[""m<sup>3<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4407.19.00.02","4","Treated with paint, stain, creosote or other preservative","[""m<sup>3<\/sup>""]","","","","",""
"","4","Not treated:","","","","","",""
"","5","Douglas-fir <u>(Pseudotsuga</u> <u>menziesii</u>):","","","","","",""
"","6","Rough:","","","","","",""
"4407.19.00.54","7","Having a minimum dimension less than 5.1 cm","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.55","7","Having a minimum dimension 5.1 cm or more but less than 12.7 cm","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.56","7","Having a minimum dimension 12.7 cm or more","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.57","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Hemlock (<u>Tsuga</u> spp.):","","","","","",""
"4407.19.00.64","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.65","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Larch (<u>Larix</u> spp.):","","","","","",""
"4407.19.00.66","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.67","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Western red cedar:","","","","","",""
"4407.19.00.68","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.69","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Yellow cedar (<u>Chamaecyparis</u> <u>nootkatensis</u>):","","","","","",""
"4407.19.00.74","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.75","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Other cedar (<u>Thuja</u> spp., <u>Juniperus</u> spp., <u>Chamaecyparis</u> spp., <u>Cupressus</u> spp. and <u>Libocedrus</u> spp.):","","","","","",""
"4407.19.00.76","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.77","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Redwood (<u>Sequoia</u> <u>sempervirens</u>):","","","","","",""
"4407.19.00.82","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.83","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","5","Other:","","","","","",""
"4407.19.00.92","6","Rough","[""m<sup>3<\/sup>""]","","","","",""
"4407.19.00.93","6","Other","[""m<sup>3<\/sup>""]","","","","",""
"","1","Of tropical wood:","","","","","",""
"4407.21.00.00","2","Mahogany (<u>Swietenia</u> spp.)","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.22.00","2","Virola, Imbuia and Balsa","","Free","","$1.27/m<sup>3</sup>","",""
"4407.22.00.06","3","Balsa (<u>Ochroma</u> <u>lagopus</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4407.22.00.91","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4407.23.01.00","2","Teak","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.25.00.00","2","Dark Red Meranti, Light Red Meranti and Meranti Bakau","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.26.00.00","2","White Lauan, White Meranti, White Seraya, Yellow Meranti and Alan","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.27.00.00","2","Sapelli","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.28.00.00","2","Iroko","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.29.02","2","Other","","Free","","$1.27/m<sup>3</sup>","",""
"4407.29.02.06","3","Acajou d'Afrique (<u>Khaya</u> spp.), also known as African mahogany","[""m<sup>3<\/sup>""]","","","","",""
"4407.29.02.11","3","Anigre (Aningeria spp.), also known as Aningre, Aniegre or Anegre","[""m<sup>3<\/sup>""]","","","","",""
"4407.29.02.16","3","Keruing (<u>Dipterocarpus</u> spp.)","[""m<sup>3<\/sup>""]","","","","",""
"4407.29.02.20","3","Ipé (Tabebuia spp. or Handroanthus spp.), also known as Tahibo or Taheebo, LaPacho or Lapacho, Brazilian walnut and Patagonian walnut","[""m<sup>3<\/sup>""]","","","","",""
"4407.29.02.40","3","Andiroba (<u>Carapa</u> <u>guianensis</u> and <u>C.</u> <u>procera)</u>, Padauk (<u>Pterocarpus</u> spp.), also known as Padouk","[""m<sup>3<\/sup>""]","","","","",""
"4407.29.02.60","3","Cedro (<u>Cedrela</u> spp.), also known as Spanish Cedar","[""m<sup>3<\/sup>""]","","","","",""
"4407.29.02.85","3","Jatoba (<u>Hymenaea</u> spp.), also known as Brazilian Cherry","[""m<sup>3<\/sup>""]","","","","",""
"4407.29.02.96","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"","1","Other:","","","","","",""
"4407.91.00","2","Of oak (<u>Quercus</u> spp.)","","Free","","$1.27/m<sup>3</sup>","",""
"4407.91.00.22","3","Red oak","[""m<sup>3<\/sup>""]","","","","",""
"4407.91.00.63","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4407.92.00.00","2","Of beech (<u>Fagus</u> spp.)","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.93.00","2","Of maple (<u>Acer</u> spp.)","","Free","","$1.27/m<sup>3</sup>","",""
"4407.93.00.10","3","Hard maple","[""m<sup>3<\/sup>""]","","","","",""
"4407.93.00.20","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4407.94.00.00","2","Of cherry (<u>Prunus </u>spp.)","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.95.00.00","2","Of ash (<u>Fraxinus </u>spp.)","[""m<sup>3<\/sup>""]","Free","","$1.27/m<sup>3</sup>","",""
"4407.96.00","2","Of birch (<u>Betula</u> spp.)","","Free","","$1.27/m<sup>3</sup>","",""
"4407.96.00.11","3","North American (Betula alleghaniensis, Betula papyrifera, Betula lenta, Betula nigra)","[""m<sup>3<\/sup>""]","","","","",""
"4407.96.00.13","3","European (Betula pendula, Betula pubescens), also known as Baltic, Russian or Chinese birch","[""m<sup>3<\/sup>""]","","","","",""
"4407.96.00.19","3","Other","[""m<sup>3<\/sup>""]","","","","",""
"4407.97.00","2","Of poplar and aspen (<u>Populus</u> spp.)","","Free","","$1.27/m<sup>3</sup>","",""
"4407.97.00.72","3","Yellow poplar (<u>Liriodendron</u> <u>tulipifera</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4407.97.00.79","3","Other poplar; aspen; cottonwood","[""m<sup>3<\/sup>""]","","","","",""
"4407.99.02","2","Other","","Free","","$1.27/m<sup>3</sup>","",""
"4407.99.02.42","3","Hickory (<u>Carya</u> spp.) and pecan (<u>Carya</u> <u>illinoensis</u>, <u>Carya</u> <u>pecan</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4407.99.02.61","3","Walnut (<u>Juglans</u> spp)<u></u>","[""m<sup>3<\/sup>""]","","","","",""
"4407.99.02.63","3","Western red alder (<u>Alnus</u> <u>rubra</u>)","[""m<sup>3<\/sup>""]","","","","",""
"4407.99.02.95","3","Other nonconiferous","[""m<sup>3<\/sup>""]","","","","",""
"4408","0","Sheets for veneering (including those obtained by slicing laminated wood), for plywood or for similar laminated wood and other wood, sawn lengthwise, sliced or peeled, whether or not planed, sanded, spliced or end-jointed, of a thickness not exceeding 6 mm:","","","","","",""
"4408.10.01","1","Coniferous","","Free","","20%","",""
"4408.10.01.25","2","Douglas fir","[""m<sup>2<\/sup>""]","","","","",""
"4408.10.01.45","2","Other","[""m<sup>2<\/sup>""]","","","","",""
"","1","Of tropical wood:","","","","","",""
"4408.31.01.00","2","Dark Red Meranti, Light Red Meranti and Meranti Bakau","[""m<sup>2<\/sup>""]","Free","","20%","",""
"4408.39.02","2","Other","","Free","","20%","",""
"4408.39.02.10","3","Spliced or end-jointed","[""m<sup>2<\/sup>""]","","","","",""
"","3","Other:","","","","","",""
"4408.39.02.20","4","Acajou or Acajou d'Afrique (<u>Khaya</u> spp.), also known as African mahogany","[""m<sup>2<\/sup>""]","","","","",""
"4408.39.02.30","4","Anigre (<u>Aningeria</u> spp.), also known as Aningre, Aniegre or Anegre","[""m<sup>2<\/sup>""]","","","","",""
"4408.39.02.40","4","Ceiba (<u>Ceiba</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.39.02.50","4","Obeche (<u>Triplochiton</u> spp.), also known as Ayous","[""m<sup>2<\/sup>""]","","","","",""
"4408.39.02.60","4","Okoume (<u>Aucoumea</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.39.02.70","4","Sapele (Sapelli), Sipo or Utile (<u>Entandrophragma</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.39.02.91","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01","1","Other","","Free","","20%","",""
"","2","Spliced or end-jointed:","","","","","",""
"4408.90.01.05","3","Ash (<u>Fraxinus</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.10","3","Birch (<u>Betula</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.15","3","Cherry (<u>Prunus</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.21","3","Maple (<u>Acer</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"","3","Oak (<u>Quercus</u> spp.):","","","","","",""
"4408.90.01.31","4","Red","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.37","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.45","3","Walnut (<u>Juglans</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.51","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"","2","Other:","","","","","",""
"4408.90.01.56","3","Ash (<u>Fraxinus</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.61","3","Birch (<u>Betula</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.66","3","Cherry (<u>Prunus</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.71","3","Maple (<u>Acer</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"","3","Oak (Quercus spp.):","","","","","",""
"4408.90.01.76","4","Red","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.81","4","Other","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.87","3","Walnut (<u>Juglans</u> spp.)","[""m<sup>2<\/sup>""]","","","","",""
"4408.90.01.97","3","Other","[""m<sup>2<\/sup>""]","","","","",""
"4409","0","Wood (including strips and friezes for parquet flooring, not assembled) continuously shaped (tongued, grooved, rebated, chamfered, V-jointed, beaded, molded, rounded or the like) along any of its edges, ends or faces, whether or not planed, sanded or end-jointed:","","","","","",""
"4409.10","1","Coniferous:","","","","","",""
"4409.10.05.00","2","Wood continuously shaped along any of its ends, whether or not also continuously shaped along any of its edges or faces, all the foregoing whether or not planed, sanded or end-jointed","[""m<sup>3<\/sup>""]","3.2%","Free (A*,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","33 1/3%","",""
"","2","Other:","","","","","",""
"4409.10.10","3","Wood siding","","Free","","2.2¢/m<sup>2</sup>","",""
"","4","Resawn bevel siding:","","","","","",""
"4409.10.10.20","5","Western red cedar","[""m<sup>2<\/sup>"",""m<sup>3<\/sup>""]","","","","",""
